Questions,Answers
15. What long-term complication can type 2 diabetes cause?,"Diabetes is a progressive disease. If left unchecked, it can gradually lead to life-threatening complications. Some of which are kidney damage, cardiovascular disease, eye Plus, having diabetes may lead to psychological issues like stress and depression, which are often overlooked.problems, hearing impairment, amputations and more."
16. I feel fine. Do I still need to worry about my diabetes condition?,"If your blood sugar level is more than what your doctor has set the target for, you have every reason to care about it. As mentioned, diabetes is a progressive disease. Depending on your age and condition, it might not cause any short-term complications.But it sure is damaging your overall health, which would become evident and fatal in the long- run. Hence do not just focus on how you feel, instead note what your glucose monitor reads. "
17. Can I stop taking the medications if my blood sugar levels are normal?,"If your blood sugar level is more than what your doctor has set the target for, you have every reason to care about it. As mentioned, diabetes is a progressive disease. Depending on your age and condition, it might not cause any short-term complications.But it sure is damaging your overall health, which would become evident and fatal in the long- run. Hence do not just focus on how you feel, instead note what your glucose monitor reads. "
18. What are the risk factors of Diabetes Mellitus?,"Certain factors increase a person’s risk of developing diabetes. Risk factors for Type 1 diabetes:?    Family history of type 1 diabetes (genetic predisposition).?    Younger age – higher likelihood of being diagnosed as a child, teenager, or young adult. Risk factors for Type 2 diabetes:?    Family history of type 2 diabetes.?    Overweight.?    Unhealthy diet.?    Physically inactive.?    Smoking."
19.  Why do people with diabetes have sugar present in their urine?,"Normally, when blood sugar (glucose) rises to a level above 0.25mg/ml in the blood, sugar will appear in the urine. This condition is known as glucosuria."
20.  Are people with diabetes restricted from consuming sugar?,"Diabetes is not caused only by sugar consumption. However, you should still limit your intake of sugary beverages and sweets.Understandably, people get confused about the role of sugary foods and beverages in diabetes. This may be due to the fact that the food you consume is digested and converted into a form of sugar known as glucose.In diabetes, your body is either unable to produce enough insulin or use the insulin produced. Therefore, the excess glucose remains in the blood and your blood sugar level increases."
21. Can insulin cure diabetes?,"Insulin does not cure diabetes; it is used to treat diabetes. People with type 1 diabetes are required to inject insulin as their body is unable to produce insulin.On the other hand, type 2 diabetes can be treated with oral medications but may also require insulin, particularly if other medications are not effective at maintaining your blood sugar levels within a healthy range."
22.  Are people with diabetes more prone to cold and other illnesses?,"High blood sugars weaken the person's immunity and result in more frequent infections such as colds, skin infections, urine infections, boils, and abscesses. Hence, it is important to have good glucose control."
23. What are the complications of Diabetes? Complications of Diabetes Mellitus,"1. Diabetic retinopathyThe most common eye condition associated with diabetes is diabetic retinopathy. It is one of the most common causes of blindness in adults in developed countries.In diabetic retinopathy, the blood vessels in the retina (layer of cells that cover the surface of the back of the eye) are damaged due to high blood sugar.This can cause the blood vessels to swell and leak, leading to blurry vision and eventually blindness if left untreated.2. Diabetic neuropathyNerve damage caused by diabetes is  known  as  diabetic  neuropathy. High  blood sugar can damage your nerves, and these nerves may stop sending messages to other parts of your body.Nerve damage can result in various health problems ranging from mild to severe pain affecting your daily activities.3. Diabetic nephropathyDiabetic nephropathy refers to kidney problems due to diabetes. Normal kidney functions can be affected by diabetes. This can eventually result in chronic kidney disease and kidney failure.4. Cardiovascular diseaseDiabetes increases a person's risk of cardiovascular disease, which can lead to heart attack, stroke, or even death."
24. How can I prevent Diabetes?,"Currently, Type 1 diabetes is not preventable, but it can be treated by your doctor.On the other hand, Type 2 diabetes is largely preventable with simple lifestyle modificationssuch as:Staying active and getting at least 15 minutes of exercise each day.?    Eating healthy?    Increase intake of vegetables, fruits, and whole grains.?    Reduce intake of red meat, processed meat, and refined carbohydrates?    Maintain a healthy weight.?    Quit smoking.?    Reduce alcohol consumption. Reference:"
25. How many times do you eat each day?,"When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
"26. What should I typically eat for breakfast, lunch and dinner?","When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
27. What kind of effect do my diet has on my diabetes?,"When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
28. Can you explain my meal plan?,"When you have type 2 diabetes, taking time to plan your meals goes a long way  toward controlling your blood sugar and weight.Your main focus is on keeping your blood sugar (glucose) level in your target range. To help manage your blood sugar, follow a meal plan that has:?    Food from all the food groups?    Fewer calories?    About the same amount of carbohydrates at each meal and snack?    Healthy fatsAlong with healthy eating, you can help keep your blood sugar in target range by maintaining a healthy weight. People with type 2 diabetes are often overweight or obese. Losing even 10 pounds (4.5 kilograms) can help you manage your diabetes better. Eating healthy foods and staying active (for example, 60 total minutes of walking or other activity per day) can help you meet and maintain your weight loss goal. Activity lets your muscles use sugar from the blood without needing insulin to move the sugar into the muscle cells.HOW CARBOHYDRATES AFFECT BLOOD SUGARCarbohydrates in food give your body energy. You need to eat carbohydrates to maintain yourenergy. But carbohydrates also raise your blood sugar higher and faster than other kinds of food.The main kinds of carbohydrates are starches, sugars, and fiber. Learn which foods have carbohydrates. This will help with meal planning so that you can keep your blood sugar in your target range. Not all carbohydrates can be broken down and absorbed by your body. Foods with more non-digestible carbohydrates, or fiber, are less likely to increase your blood sugar out of your goal range. These include foods such as beans and whole grains.MEAL PLANNING FOR CHILDREN WITH TYPE 2 DIABETESMeal plans should consider the amount of calories children need to grow. In general, three small meals and three snacks a day can help meet calorie needs. Many children with type 2 diabetes are overweight. The goal should be able to reach a healthy weight by eating healthy foods and getting more activity (150 minutes in a week).Work with a registered dietitian to design a meal plan for your child. A registered dietitian is an expert in food and nutrition.The following tips can help your child stay on track:No food is off-limits. Knowing how different foods affect your child's blood sugar helps you and your child keep blood sugar in target range.Help your child learn how much food is a healthy amount. This is called portion control.Have your family gradually switch from drinking soda and other sugary drinks, such as sports drinks and juices, to plain water or low-fat milk.PLANNING MEALSEveryone has individual needs. Work with your health care provider, registered dietitian, or diabetes educator to develop a meal plan that works for you.When shopping, read food labels to make better food choices.A good way to make sure you get all the nutrients you need during meals is to use the plate method. This is a visual food guide that helps you choose the best types and right amounts of food to eat. It encourages larger portions of non-starchy vegetables (half the plate) and moderate portions of protein (one quarter of the plate) and starch (one quarter of the plate).EAT A VARIETY OF FOODSEating a wide variety of foods helps you stay healthy. Try to include foods from all the food groups at each meal.VEGETABLES (2½ to 3 cups or 450 to 550 grams a day)Choose fresh or frozen vegetables without added sauces, fats, or salt. Non-starchy vegetablesinclude dark green and deep yellow vegetables, such as cucumber, spinach, broccoli, romaine lettuce, cabbage, chard, and bell peppers. Starchy vegetables include corn, green peas, lima beans, carrots, yams and taro. Note that potato should be considered a pure starch, like white bread or white rice, instead of a vegetable.FRUITS (1½ to 2 cups or 240 to 320 grams a day)Choose fresh, frozen, canned (without added sugar or syrup), or unsweetened dried fruits. Try apples, bananas, berries, cherries, fruit cocktail, grapes, melon, oranges, peaches, pears, papaya, pineapple, and raisins. Drink juices that are 100% fruit with no added sweeteners or syrups.GRAINS (3 to 4 ounces or 85 to 115 grams a day) There are 2 types of grains:Whole grains are unprocessed and have the entire grain kernel. Examples are whole-wheat flour, oatmeal, whole cornmeal, amaranth, barley, brown and wild rice, buckwheat, and quinoa.Refined grains have been processed (milled) to remove the bran and germ. Examples are white flour, de-germed cornmeal, white bread, and white rice.Grains have starch, a type of carbohydrate. Carbohydrates raise your blood sugar level. For healthy eating, make sure half of the grains you eat each day are whole grains. Whole grains have lots of fiber. Fiber in the diet keeps your blood sugar level from rising too fast.PROTEIN FOODS (5 to 6½ ounces or 140 to 184 grams a day)Protein foods include meat, poultry, seafood, eggs, beans and peas, nuts, seeds, and processed soy foods. Eat fish and poultry more often. Remove the skin from chicken and turkey. Select lean cuts of beef, veal, pork, or wild game. Trim all visible fat from meat. Bake, roast, broil, grill, or boil instead of frying. When frying proteins, use healthy oils such as olive oil.DAIRY (3 cups or 245 grams a day)Choose low-fat dairy products. Be aware that milk, yogurt, and other dairy foods have natural sugar, even when they do not contain added sugar. Take this into account when planning meals to stay in your blood sugar target range. Some non-fat dairy products have a lot of added sugar. Be sure to read the label.OILS/FATS (no more than 7 teaspoons or 35 milliliters a day)Oils are not considered a food group. But they have nutrients that help your body stay healthy. Oils are different from fats in that oils remain liquid at room temperature. Fats remain solid at room temperature.Limit your intake of fatty foods, especially those high in saturated fat, such as hamburgers,deep-fried foods, bacon, and butter.Instead, choose foods that are high in polyunsaturated or monounsaturated fats. These include fish, nuts, and vegetable oils.Oils can raise your blood sugar, but not as fast as starch. Oils are also high in calories. Try to use no more than the recommended daily limit of 7 teaspoons (35 milliliters)."
